Daihatsu,Honda,Suzuki,Mitsubishi,Manual,4 Pintu,5 Pintu,Luar Jabodetabek,2014-2018,2019-2023,CC,Harga
0,1,0,0,1,0,1,0,0,1,1197,145000000
0,1,0,0,1,0,1,0,0,1,1197,123000000
0,1,0,0,1,0,1,1,0,1,1197,124000000
0,1,0,0,0,0,1,0,0,1,1197,136000000
0,0,0,0,0,0,1,1,0,1,1197,145000000
0,1,0,0,1,0,1,1,0,1,1197,148000000
0,1,0,0,0,0,1,1,0,1,1197,175000000
0,1,0,0,1,0,1,0,0,1,1197,134000000
0,1,0,0,1,0,1,0,0,1,1197,136000000
0,1,0,0,0,0,1,0,0,1,1197,147000000
0,1,0,0,0,0,1,0,0,1,1197,149000000
0,1,0,0,0,0,1,0,0,1,1197,160000000
0,0,0,0,1,0,1,0,0,1,1197,130000000
0,0,0,0,1,0,1,1,0,1,1197,138000000
0,0,0,0,1,0,1,0,0,1,1197,138000000
0,0,0,0,0,0,1,0,0,1,1197,149000000
0,0,0,0,0,0,1,1,0,1,1197,157000000
0,0,0,1,1,0,1,1,0,1,1197,138000000
